name,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100% Bran,70,4,1,130,10.0,5.0,6,280,25,3,1.0,0.33,68.402973
100% Natural Bran,120,3,5,15,2.0,8.0,8,135,0,3,1.0,1.0,33.983678999999995
All-Bran,70,4,1,260,9.0,7.0,5,320,25,3,1.0,0.33,59.425505
All-Bran with Extra Fiber,50,4,0,140,14.0,8.0,0,330,25,3,1.0,0.5,93.704912
Almond Delight,110,2,2,200,1.0,14.0,8,-1,25,3,1.0,0.75,34.384843
Apple Cinnamon Cheerios,110,2,2,180,1.5,10.5,10,70,25,1,1.0,0.75,29.509541
Apple Jacks,110,2,0,125,1.0,11.0,14,30,25,2,1.0,1.0,33.174094000000004
Basic 4,130,3,2,210,2.0,18.0,8,100,25,3,1.33,0.75,37.038562
Bran Chex,90,2,1,200,4.0,15.0,6,125,25,1,1.0,0.67,49.120253000000005
Bran Flakes,90,3,0,210,5.0,13.0,5,190,25,3,1.0,0.67,53.313813
Cap'n'Crunch,120,1,2,220,0.0,12.0,12,35,25,2,1.0,0.75,18.042851000000002
Cheerios,110,6,2,290,2.0,17.0,1,105,25,1,1.0,1.25,50.764998999999996
Cinnamon Toast Crunch,120,1,3,210,0.0,13.0,9,45,25,2,1.0,0.75,19.823573
Clusters,110,3,2,140,2.0,13.0,7,105,25,3,1.0,0.5,40.400208
Cocoa Puffs,110,1,1,180,0.0,12.0,13,55,25,2,1.0,1.0,22.736446
Corn Chex,110,2,0,280,0.0,22.0,3,25,25,1,1.0,1.0,41.445019
Corn Flakes,100,2,0,290,1.0,21.0,2,35,25,1,1.0,1.0,45.863324
Corn Pops,110,1,0,90,1.0,13.0,12,20,25,2,1.0,1.0,35.782790999999996
Count Chocula,110,1,1,180,0.0,12.0,13,65,25,2,1.0,1.0,22.396513
Cracklin' Oat Bran,110,3,3,140,4.0,10.0,7,160,25,3,1.0,0.5,40.448772
Cream of Wheat (Quick),100,3,0,80,1.0,21.0,0,-1,0,2,1.0,1.0,64.533816
Crispix,110,2,0,220,1.0,21.0,3,30,25,3,1.0,1.0,46.895644
Crispy Wheat & Raisins,100,2,1,140,2.0,11.0,10,120,25,3,1.0,0.75,36.176196000000004
Double Chex,100,2,0,190,1.0,18.0,5,80,25,3,1.0,0.75,44.330856
Froot Loops,110,2,1,125,1.0,11.0,13,30,25,2,1.0,1.0,32.207582
Frosted Flakes,110,1,0,200,1.0,14.0,11,25,25,1,1.0,0.75,31.435972999999997
Frosted Mini-Wheats,100,3,0,0,3.0,14.0,7,100,25,2,1.0,0.8,58.345141000000005
"Fruit & Fibre Dates, Walnuts, and Oats",120,3,2,160,5.0,12.0,10,200,25,3,1.25,0.67,40.917047
Fruitful Bran,120,3,0,240,5.0,14.0,12,190,25,3,1.33,0.67,41.015492
Fruity Pebbles,110,1,1,135,0.0,13.0,12,25,25,2,1.0,0.75,28.025765000000003
Golden Crisp,100,2,0,45,0.0,11.0,15,40,25,1,1.0,0.88,35.252444
Golden Grahams,110,1,1,280,0.0,15.0,9,45,25,2,1.0,0.75,23.804043
Grape Nuts Flakes,100,3,1,140,3.0,15.0,5,85,25,3,1.0,0.88,52.076896999999995
Grape-Nuts,110,3,0,170,3.0,17.0,3,90,25,3,1.0,0.25,53.37100699999999
Great Grains Pecan,120,3,3,75,3.0,13.0,4,100,25,3,1.0,0.33,45.811716
Honey Graham Ohs,120,1,2,220,1.0,12.0,11,45,25,2,1.0,1.0,21.871292
Honey Nut Cheerios,110,3,1,250,1.5,11.5,10,90,25,1,1.0,0.75,31.072217
Honey-comb,110,1,0,180,0.0,14.0,11,35,25,1,1.0,1.33,28.742414
Just Right Crunchy Nuggets,110,2,1,170,1.0,17.0,6,60,100,3,1.0,1.0,36.523683
Just Right Fruit & Nut,140,3,1,170,2.0,20.0,9,95,100,3,1.3,0.75,36.471512
Kix,110,2,1,260,0.0,21.0,3,40,25,2,1.0,1.5,39.241114
Life,100,4,2,150,2.0,12.0,6,95,25,2,1.0,0.67,45.328074
Lucky Charms,110,2,1,180,0.0,12.0,12,55,25,2,1.0,1.0,26.734515000000002
Maypo,100,4,1,0,0.0,16.0,3,95,25,2,1.0,1.0,54.850917
"Muesli Raisins, Dates, & Almonds",150,4,3,95,3.0,16.0,11,170,25,3,1.0,1.0,37.136863
"Muesli Raisins, Peaches, & Pecans",150,4,3,150,3.0,16.0,11,170,25,3,1.0,1.0,34.139765000000004
Mueslix Crispy Blend,160,3,2,150,3.0,17.0,13,160,25,3,1.5,0.67,30.313351
Multi-Grain Cheerios,100,2,1,220,2.0,15.0,6,90,25,1,1.0,1.0,40.105965000000005
Nut&Honey Crunch,120,2,1,190,0.0,15.0,9,40,25,2,1.0,0.67,29.924284999999998
Nutri-Grain Almond-Raisin,140,3,2,220,3.0,21.0,7,130,25,3,1.33,0.67,40.69232
Nutri-grain Wheat,90,3,0,170,3.0,18.0,2,90,25,3,1.0,1.0,59.642837
Oatmeal Raisin Crisp,130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.450843
Post Nat. Raisin Bran,120,3,1,200,6.0,11.0,14,260,25,3,1.33,0.67,37.840594
Product 19,100,3,0,320,1.0,20.0,3,45,100,3,1.0,1.0,41.50354
Puffed Rice,50,1,0,0,0.0,13.0,0,15,0,3,0.5,1.0,60.756112
Puffed Wheat,50,2,0,0,1.0,10.0,0,50,0,3,0.5,1.0,63.005644999999994
Quaker Oat Squares,100,4,1,135,2.0,14.0,6,110,25,3,1.0,0.5,49.511874
Quaker Oatmeal,100,5,2,0,2.7,-1.0,-1,110,0,1,1.0,0.67,50.828392
Raisin Bran,120,3,1,210,5.0,14.0,12,240,25,2,1.33,0.75,39.259197
Raisin Nut Bran,100,3,2,140,2.5,10.5,8,140,25,3,1.0,0.5,39.7034
Raisin Squares,90,2,0,0,2.0,15.0,6,110,25,3,1.0,0.5,55.333142
Rice Chex,110,1,0,240,0.0,23.0,2,30,25,1,1.0,1.13,41.998933
Rice Krispies,110,2,0,290,0.0,22.0,3,35,25,1,1.0,1.0,40.560159000000006
Shredded Wheat,80,2,0,0,3.0,16.0,0,95,0,1,0.83,1.0,68.235885
Shredded Wheat 'n'Bran,90,3,0,0,4.0,19.0,0,140,0,1,1.0,0.67,74.472949
Shredded Wheat spoon size,90,3,0,0,3.0,20.0,0,120,0,1,1.0,0.67,72.801787
Smacks,110,2,1,70,1.0,9.0,15,40,25,2,1.0,0.75,31.230054
Special K,110,6,0,230,1.0,16.0,3,55,25,1,1.0,1.0,53.131324
Strawberry Fruit Wheats,90,2,0,15,3.0,15.0,5,90,25,2,1.0,1.0,59.36399300000001
Total Corn Flakes,110,2,1,200,0.0,21.0,3,35,100,3,1.0,1.0,38.839746000000005
Total Raisin Bran,140,3,1,190,4.0,15.0,14,230,100,3,1.5,1.0,28.592785
Total Whole Grain,100,3,1,200,3.0,16.0,3,110,100,3,1.0,1.0,46.658844
Triples,110,2,1,250,0.0,21.0,3,60,25,3,1.0,0.75,39.106173999999996
Trix,110,1,1,140,0.0,13.0,12,25,25,2,1.0,1.0,27.753301
Wheat Chex,100,3,1,230,3.0,17.0,3,115,25,1,1.0,0.67,49.787445
Wheaties,100,3,1,200,3.0,17.0,3,110,25,1,1.0,1.0,51.592193
Wheaties Honey Gold,110,2,1,200,1.0,16.0,8,60,25,1,1.0,0.75,36.187559
